,longitude,latitude,time_date,tweet,hashtags,follower_count,retweeted_status,retweet_count,weird,strange,weirder
137,-117.608,35.639,2019-07-22 14:25:04,"1.8 magnitude #earthquake. 6 km from Ridgecrest, CA, ##UnitedStates https://t.co/uikkr50UtQ","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
138,-117.608,35.639,2019-07-22 14:25:04,"1.8 magnitude #earthquake. 4 mi from Ridgecrest, CA, #UnitedStates https://t.co/j5Zgcd0rzN","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
139,-117.656,35.831,2019-07-22 14:05:04,"1.7 magnitude #earthquake. 23 km from Ridgecrest, CA, ##UnitedStates https://t.co/bHDFkIcMyk","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
140,-117.656,35.831,2019-07-22 14:05:04,"1.7 magnitude #earthquake. 14 mi from Ridgecrest, CA, #UnitedStates https://t.co/Vqd3AVsFS7","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
141,-117.628,35.697,2019-07-22 12:10:05,"2.0 magnitude #earthquake. 9 km from #Ridgecrest, #CA, United States https://t.co/fXpjlxBRon","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [37, 48]}","{'text': 'CA', 'indices': [50, 53]}",,,,
142,-117.628,35.697,2019-07-22 12:10:04,"2.0 magnitude #earthquake. 6 mi from #Ridgecrest, CA, United States https://t.co/40Wdyj3xmB","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [37, 48]}",,,,,
143,-117.627,35.804,2019-07-22 11:50:04,"2.4 magnitude #earthquake. 21 km from #Ridgecrest, CA, United States https://t.co/q6KnqcHhhR","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
144,-117.627,35.804,2019-07-22 11:50:04,"2.4 magnitude #earthquake. 13 mi from Ridgecrest, #CA, United States https://t.co/Wrkqwb6MyF","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
145,-117.639,35.81,2019-07-22 10:20:04,"2.8 magnitude #earthquake. 21 km from #Ridgecrest, CA, United States https://t.co/tepaeSmt3p","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
146,-117.639,35.81,2019-07-22 10:20:04,"2.8 magnitude #earthquake. 13 mi from Ridgecrest, #CA, United States https://t.co/YO7H81Oytv","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
147,-117.6391678,35.810833,2019-07-22 10:16:57,"Ml 2.77 earthquake (automatic) occured at 2019-07-22T10:13:44 UTC, 21km N of Ridgecrest, CA https://t.co/ePj4fAwNd6",,,,,,,
148,-117.642,35.79,2019-07-22 09:35:04,"1.7 magnitude #earthquake. 19 km from #Ridgecrest, CA, United States https://t.co/V58zadQjcS","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
149,-117.642,35.79,2019-07-22 09:35:04,"1.7 magnitude #earthquake. 12 mi from Ridgecrest, #CA, United States https://t.co/4L3wvY3G48","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
150,-117.541,35.66,2019-07-22 08:30:04,"1.6 magnitude #earthquake. 12 km from Ridgecrest, CA, ##UnitedStates https://t.co/PBMxXnj7hZ","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
151,-117.541,35.66,2019-07-22 08:30:04,"1.6 magnitude #earthquake. 8 mi from Ridgecrest, CA, #UnitedStates https://t.co/rJ05xyoX71","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
152,-117.638,35.779,2019-07-22 07:45:04,"2.1 magnitude #earthquake. 18 km from #Ridgecrest, #CA, United States https://t.co/a8mfHyy1uv","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'CA', 'indices': [51, 54]}",,,,
153,-117.638,35.779,2019-07-22 07:45:04,"2.1 magnitude #earthquake. 11 mi from #Ridgecrest, CA, United States https://t.co/lBs3yGW5kB","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
154,-117.548,35.675,2019-07-22 04:40:04,"1.7 magnitude #earthquake. 13 km from #Ridgecrest, CA, United States https://t.co/Fw2BrqigjP","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
155,-117.548,35.675,2019-07-22 04:40:04,"1.7 magnitude #earthquake. 8 mi from Ridgecrest, #CA, United States https://t.co/AEJeaAWYQf","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
156,-117.586,35.65,2019-07-22 04:15:04,"2.0 magnitude #earthquake. 8 km from #Ridgecrest, CA, United States https://t.co/jNQvsvkbhg","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [37, 48]}",,,,,
157,-117.586,35.65,2019-07-22 04:15:04,"2.0 magnitude #earthquake. 5 mi from Ridgecrest, #CA, United States https://t.co/8XwBjANrIv","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
158,-117.577,35.72,2019-07-22 03:45:06,"1.6 magnitude #earthquake. 14 km from #Ridgecrest, CA, ####UnitedStates https://t.co/mM6UBtjhCo","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'UnitedStates', 'indices': [58, 71]}",,,,
159,-117.577,35.72,2019-07-22 03:45:05,"1.6 magnitude #earthquake. 9 mi from #Ridgecrest, CA, ###UnitedStates https://t.co/1xjoKWEbbb","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [37, 48]}","{'text': 'UnitedStates', 'indices': [56, 69]}",,,,
160,-117.572,35.723,2019-07-22 03:45:04,"1.7 magnitude #earthquake. 14 km from Ridgecrest, CA, ##UnitedStates https://t.co/H5akmDvDr1","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
161,-117.572,35.723,2019-07-22 03:45:04,"1.7 magnitude #earthquake. 9 mi from Ridgecrest, CA, #UnitedStates https://t.co/irPi5d5TO1","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
162,-117.638,35.79,2019-07-22 03:25:04,"1.5 magnitude #earthquake. 19 km from ##Ridgecrest, CA, United States https://t.co/q2JLsvM0Ju","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [39, 50]}",,,,,
163,-117.638,35.79,2019-07-22 03:25:04,"1.5 magnitude #earthquake. 12 mi from #Ridgecrest, CA, United States https://t.co/M64HOFvl3s","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
164,-117.57,35.714,2019-07-22 00:15:07,"1.8 magnitude #earthquake. 14 km from ##Ridgecrest, CA, United States https://t.co/cdZloHh6JU","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [39, 50]}",,,,,
