created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Thu Sep 06 04:01:33 +0000 2018,0,"['CarrFire', 'HirzFire', 'DeltaFire']",,,0,RT @jeffwitt: Firefighters 🔥 from the #CarrFire and the #HirzFire are now battling the #DeltaFire ... these guys are real heroes 🙏  #Reddin…
Thu Sep 06 03:45:45 +0000 2018,0,[],,,0,"RT @CAL_FIRE: After a father informed his daughter that her fish was likely dead, both were in for quite a shock when they returned home to…"
Thu Sep 06 03:45:39 +0000 2018,0,"['KerlinFire', 'CarrFire']",,,0,"RT @EPN473: #KerlinFire made some big gains today in Trinity County, this is SW of the #CarrFire burn scar. https://t.co/zBlSPeC253"
Thu Sep 06 03:45:19 +0000 2018,3,"['KerlinFire', 'CarrFire']",,,1,"#KerlinFire made some big gains today in Trinity County, this is SW of the #CarrFire burn scar. https://t.co/zBlSPeC253"
Thu Sep 06 03:43:31 +0000 2018,13,"['CarrFire', 'HirzFire', 'DeltaFire']",,,4,Firefighters 🔥 from the #CarrFire and the #HirzFire are now battling the #DeltaFire ... these guys are real heroes… https://t.co/ZZBguPeYqR
Thu Sep 06 03:41:29 +0000 2018,0,"['CarrFire', 'DeltaFire']",,,0,RT @jeffwitt: Ugh... this is just a few miles to the north of us. We need rain! #CarrFire Is still smoldering and now #DeltaFire ... pray f…
Thu Sep 06 03:32:08 +0000 2018,0,[],,,0,"RT @CAL_FIRE: After a father informed his daughter that her fish was likely dead, both were in for quite a shock when they returned home to…"
Thu Sep 06 03:30:10 +0000 2018,1,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,AVON Rhinestone Bracelet Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster… https://t.co/kgnjK39PUg
Thu Sep 06 03:15:09 +0000 2018,0,[],,,0,"RT @SecretarySonny: A flat tire, a rim scraping against asphalt &amp; a shower of sparks began a small blaze that turned into the massive #Carr…"
Thu Sep 06 03:07:26 +0000 2018,5,"['CarrFire', 'DeltaFire']",,,3,Ugh... this is just a few miles to the north of us. We need rain! #CarrFire Is still smoldering and now #DeltaFire… https://t.co/NWKE2UZt8P
Thu Sep 06 02:25:57 +0000 2018,0,['CarrFire'],,,0,RT @SpencerMelton15: Sooo... @DIRECTV @DIRECTVService is still forcing victims of the #CarrFire who lost their house to pay for early termi…
Thu Sep 06 02:24:09 +0000 2018,0,[],,,0,@SpencerMelton15 @DIRECTV @DIRECTVService Thank you for reporting this. The CA Utilities Commission passed regulati… https://t.co/bzT1lvsEA8
Thu Sep 06 02:12:22 +0000 2018,0,[],,,0,"Looks like what’s left of a garage. 
Side of the road on the way to Whiskeytown. It’s really terrible to see.… https://t.co/5lqPgwmTXB"
Thu Sep 06 02:10:31 +0000 2018,0,['carrfire'],,,0,"What used to be a few houses.
Side of the road on the way to Whiskeytown. It’s really terrible to see. #carrfire
.… https://t.co/Pzvf9LnTBf"
