,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
1843,Mon Jan 28 23:57:26 +0000 2019,4,[],,,7,"A protest is ongoing, lining the west side of Fair Street across from the Silver Dollar Fairgrounds which has been… https://t.co/EqX67ILTH3"
1844,Mon Jan 28 23:57:15 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1845,Mon Jan 28 23:57:01 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1846,Mon Jan 28 23:56:12 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

UPDATE:: The fairgrounds shelter is on lock down!

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM @msmorgan19…"
1847,Mon Jan 28 23:55:55 +0000 2019,4,[],,,1,"Our very own President and CEO, Larry Olmstead, speaking about the work that has been done on the ground around the… https://t.co/zCsQYO0YgZ"
1848,Mon Jan 28 23:54:14 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1849,Mon Jan 28 23:54:03 +0000 2019,0,[],,,0,"RT @BCWildfireToday: ""🆕 * TEACHERS *
Dry Creek Joint Elementary School District is hiring!  📚

Job Fair
2/4 from 4pm-6pm 
District Ed Cente…"
1850,Mon Jan 28 23:53:56 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1851,Mon Jan 28 23:53:04 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1852,Mon Jan 28 23:52:44 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1853,Mon Jan 28 23:52:37 +0000 2019,4,['CampFire'],,,17,"#CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown… https://t.co/RGzLcjpCPY"
1854,Mon Jan 28 23:49:02 +0000 2019,0,['CampFire'],,,0,"RT @thejdmorris: As they’ve done before, anti-PG&amp;E protesters read off names of #CampFire victims to the @californiapuc today. Later they c…"
1855,Mon Jan 28 23:49:00 +0000 2019,2,[],,,0,"@peterhartlaub @lizziejohnsonnn @susanslusser Bravo 👏🏻 @PeterHartlaub great stories, evocative visuals
And… https://t.co/7f2qcoHfhI"
1856,Mon Jan 28 23:48:51 +0000 2019,0,['CampFire'],,,0,RT @RepLaMalfa: (1/3) #CampFire recovery update: The Paradise &amp; Magalia Post Offices will no longer be holding mail at the post offices and…
1857,Mon Jan 28 23:48:40 +0000 2019,0,['KFFL'],,,0,RT @KPMGUS_News: In the News: @ER_MaryNugent reports on our #KFFL volunteers engaging with students and teachers at Ponderosa Elementary Sc…
1858,Mon Jan 28 23:45:34 +0000 2019,0,"['CampFire', 'Chico']",,,0,"RT @BCWildfireToday: ""Lost your TCG collection in the #CampFire?  ⤵️

Chico Magic will be handing out 800ct boxes of cards
Downtown #Chico…"
1859,Mon Jan 28 23:44:26 +0000 2019,0,"['Campfire', 'paradise', 'magalia']",,,0,"RT @Jasamsdestiny: Don't let how their website description reads - fool you.  They're 100% behind you, #Campfire peeps!

#paradise #magalia…"
1860,Mon Jan 28 23:44:18 +0000 2019,1,['campfire'],,,0,Pete Woiwode and protesters call out the names of people who lost their lives in the #campfire as they protest agai… https://t.co/be72WuuRrO
1861,Mon Jan 28 23:43:05 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

What a great day today! The family we adopted got a house ❤️

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM…"
1862,Mon Jan 28 23:42:59 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

My trip to Oroville today.......❤️

https://t.co/pcTO2BSeAD

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM @…"
1863,Mon Jan 28 23:42:15 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

UPDATE:: The fairgrounds shelter is on lock down!

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM @msmorgan19…"
1864,Mon Jan 28 23:42:10 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

UPDATE:: The fairgrounds shelter is on lock down!

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM @msmorgan19…"
